code,name,specialty,schemes,cap_inr,length_of_stay_days,notes,source
MC022E,FifthFollow-up months - After 3,Cardiac,PMJAY,2200,3,FifthFollow-up months - After 3,pmjay_hbp_2022
MG037A,Cardiac Tamponade,Cardiac,PMJAY,0,3,Cardiac Tamponade,pmjay_hbp_2022
MG031A,Bacterial Endocarditis,Cardiac,PMJAY,0,3,Bacterial Endocarditis,pmjay_hbp_2022
MG031B,Fungal Endocarditis,Cardiac,PMJAY,0,3,Fungal Endocarditis,pmjay_hbp_2022
MG036A,Atrial Fibrillation,Cardiac,PMJAY,0,3,Atrial Fibrillation,pmjay_hbp_2022
MG038A,Congestive heart failure,Cardiac,PMJAY,0,3,Congestive heart failure,pmjay_hbp_2022
MG075A,"High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging)",Cardiac,PMJAY,5000,3,"High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging)",pmjay_hbp_2022
MG076A,High end histopathology (Biopsies) and advanced serology investigations,Cardiac,PMJAY,5000,3,High end histopathology (Biopsies) and advanced serology investigations,pmjay_hbp_2022
MG098A,PET scan,Oncology,PMJAY,0,1,PET scan,pmjay_hbp_2022
MG001A,Acute febrile illness,Paediatrics,PMJAY,0,3,Acute febrile illness,pmjay_hbp_2022
MG002A,Severe sepsis,Paediatrics,PMJAY,0,3,Severe sepsis,pmjay_hbp_2022
MG002B,Septic shock,Paediatrics,PMJAY,0,3,Septic shock,pmjay_hbp_2022
MG003A,Malaria,Paediatrics,PMJAY,0,3,Malaria,pmjay_hbp_2022
MG003B,Complicated malaria,Paediatrics,PMJAY,0,3,Complicated malaria,pmjay_hbp_2022
MG004A,Dengue fever,Paediatrics,PMJAY,0,3,Dengue fever,pmjay_hbp_2022
MG004B,Dengue fever hemorrhagic,Paediatrics,PMJAY,0,3,Dengue fever hemorrhagic,pmjay_hbp_2022
MG004C,Dengue shock syndrome,Paediatrics,PMJAY,0,3,Dengue shock syndrome,pmjay_hbp_2022
MG005A,Chikungunya fever,Paediatrics,PMJAY,0,3,Chikungunya fever,pmjay_hbp_2022
MG006A,Enteric fever,Paediatrics,PMJAY,0,3,Enteric fever,pmjay_hbp_2022
MG007A,HIV with complications,Paediatrics,PMJAY,0,3,HIV with complications,pmjay_hbp_2022
MG008A,Leptospirosis,Paediatrics,PMJAY,0,3,Leptospirosis,pmjay_hbp_2022
MG009A,Acute gastroenteritis with moderate dehydration,Gastro,PMJAY,0,3,Acute gastroenteritis with moderate dehydration,pmjay_hbp_2022
MG009B,Acute gastroenteritis with severe dehydration,Gastro,PMJAY,0,3,Acute gastroenteritis with severe dehydration,pmjay_hbp_2022
MG0100A,Chronic PD catheter Insertion,Dialysis,PMJAY,4100,1,Chronic PD catheter Insertion,pmjay_hbp_2022
MG0101A,Acute severe ulcerative colitis,Gastro,PMJAY,0,3,Acute severe ulcerative colitis,pmjay_hbp_2022
MG0102A,Mesenteric Ischemia,Gastro,PMJAY,0,3,Mesenteric Ischemia,pmjay_hbp_2022
MG0103A,Intestinal obstruction,Gastro,PMJAY,0,3,Intestinal obstruction,pmjay_hbp_2022
MG0104A,Acute necrotizing severe pancreatitis,Gastro,PMJAY,0,3,Acute necrotizing severe pancreatitis,pmjay_hbp_2022
MG0105A,Pulmonary Thromboembolism - Add on,General,PMJAY,25000,3,Pulmonary Thromboembolism - Add on,pmjay_hbp_2022
MG0106A,Diffuse alveolar Hemorrhage Associated with SLE/Vasculitis/GP Syndrome,General,PMJAY,136000,3,Diffuse alveolar Hemorrhage Associated with SLE/Vasculitis/GP Syndrome,pmjay_hbp_2022
MG0107A,Severe/Refractory Vasculitis,General,PMJAY,75000,3,Severe/Refractory Vasculitis,pmjay_hbp_2022
MG0108A,Acute liver failure/Fulminant Hepatitis,General,PMJAY,50000,3,Acute liver failure/Fulminant Hepatitis,pmjay_hbp_2022
MG0109A,Pulmonary thromboembolism,General,PMJAY,0,3,Pulmonary thromboembolism,pmjay_hbp_2022
MG010A,Chronic diarrohea,Paediatrics,PMJAY,0,3,Chronic diarrohea,pmjay_hbp_2022
MG010B,Persistent diarrohea,Paediatrics,PMJAY,0,3,Persistent diarrohea,pmjay_hbp_2022
MG0110A,Acute liver failure,General,PMJAY,0,3,Acute liver failure,pmjay_hbp_2022
MG0111A,Pleural Effusion,General,PMJAY,0,3,Pleural Effusion,pmjay_hbp_2022
MG0112A,Hyberbilirubinemia,General,PMJAY,0,3,Hyberbilirubinemia,pmjay_hbp_2022
MG0113A,Polytrauma,General,PMJAY,0,3,Polytrauma,pmjay_hbp_2022
MG0113B,Trauma- FacioMaxillary,General,PMJAY,0,3,Trauma- FacioMaxillary,pmjay_hbp_2022
MG0113C,Trauma Head injury,General,PMJAY,0,3,Trauma Head injury,pmjay_hbp_2022
MG0113D,Trauma Rib fracture conservative,General,PMJAY,0,3,Trauma Rib fracture conservative,pmjay_hbp_2022
MG0113E,Trauma Blunt injury conservative,General,PMJAY,0,3,Trauma Blunt injury conservative,pmjay_hbp_2022
MG0113F,Trauma Contusion chest injury,General,PMJAY,0,3,Trauma Contusion chest injury,pmjay_hbp_2022
MG0114A,Oesophageal Varices Banding,General,PMJAY,0,3,Oesophageal Varices Banding,pmjay_hbp_2022
MG0115A,Inflammatory Myaesthenic Crisis Myopathy/,Neurosurgery,PMJAY,0,3,Inflammatory Myaesthenic Crisis Myopathy/,pmjay_hbp_2022
MG0116A,Guillain Barre syndrome (Plasmapheresis),Neurosurgery,PMJAY,0,3,Guillain Barre syndrome (Plasmapheresis),pmjay_hbp_2022
MG0116B,Myasthenic crisis (Plasmapheresis),Neurosurgery,PMJAY,0,3,Myasthenic crisis (Plasmapheresis),pmjay_hbp_2022
MG0117A,Moyamoya revascularization,Neurosurgery,PMJAY,0,3,Moyamoya revascularization,pmjay_hbp_2022
MG0118A,Evaluation resistant epilepsy-Phase-1 of drug,Neurosurgery,PMJAY,0,3,Evaluation resistant epilepsy-Phase-1 of drug,pmjay_hbp_2022
MG0119A,Drug resistant epilepsy,Neurosurgery,PMJAY,0,3,Drug resistant epilepsy,pmjay_hbp_2022
MG011A,Dysentery,Paediatrics,PMJAY,0,3,Dysentery,pmjay_hbp_2022
MG0120A,"Comprehensive medical rehabilitation for spinal injury/ injury, traumatic CVA...",Neurosurgery,PMJAY,25000,3,"Comprehensive medical rehabilitation for spinal injury/ injury, traumatic CVA, Cerebral brain palsy with or without orthosis",pmjay_hbp_2022
MG0120B,Comprehensive medical rehabilitation for of complication secondary to specifi...,Neurosurgery,PMJAY,35000,3,"Comprehensive medical rehabilitation for of complication secondary to specified disability including disanility/multiple procedures, chemodenevaration with or with out orthosis",pmjay_hbp_2022
MG0120C,Single event multiple level surgery management for spasticity in cerebral palsy,Neurosurgery,PMJAY,15000,3,Single event multiple level surgery management for spasticity in cerebral palsy,pmjay_hbp_2022
MG0120D,Medical rehabilitation of muscular dystrophy,Neurosurgery,PMJAY,7000,3,Medical rehabilitation of muscular dystrophy,pmjay_hbp_2022
